$100,000 Pyramid (1988);$100000P
Barbie Super Model (1993);BarbieSu
Bardarts (1990);Bardarts
Bard's Tale Construction Set, The (1991);bardcons
Bard's Lore II, The - The Dark Tower (1998);BardLor2
Bard's Lore, The - The Warrior & The Dragon (1998);BardLore
Bard's Quest, The - Dungeons of the Unknown (1994);BardQDoU
Bard's Tale 1, The - Tales Of The Unknown (1987);bardtal1
Bard's Tale 2, The - The Destiny Knight (1988);bardtal2
Bard's Tale 3, The - Thief Of Fate (1990);bardtal3
Bar Games (1989);BarGames
Bargon Attack (1992);bargon
Buzz Aldrin's Race into Space (1993);baris
BarneySplat (1993);BarneySp
Baroll (2001);baroll
Baron - The Real Estate Simulation (1983);baron83
Baron Baldric - A Grave Adventure (1993);BaronBal
Baron Von Evil's Mansion (2012);BaronVE
BARQ - The Rise of Freedom (1996);BARQTROF
Baryon (1995);Baryon
Basket Playoff (1992);BasketPl
Beneath a Steel Sky (1994);bass
Bass Class (1992);BassClas
BassDuel (1992);BassDuel
BassTour (1992);BassTour
BAT (1990);bat
Batalia (1986);Batalia
Battles of Destiny (1992);batdest
Batfish (1991);Batfish
Battle Fleet (1991);batfleet
Battle of Kursk, The (1989);BatKursk
Battle Bugs (1994);batlbugs
Battle Cheese (1995);batlchez
BattleStar (1994);BATLSTAR
BattleTech - The Crescent Hawk's Revenge (1990);batltec2
BattleTech - The Crescent Hawk's Inception (1988);batltech
Batman - The Caped Crusader (1988);batmancc
Batman - The Movie (1990);BatmanTh
Batman Forever - The Arcade Game (1996);BatmnFoA
Batman Forever (1996);BatmnFor
Battles of Napoleon (1991);batnapo
Bat'n Ball (1995);BatnBall
Battle for Normandy (1982);batnorm
Battlerace (1995);BatRac95
Batman Returns (1993);batret
Elder Scrolls Legend, An - Battlespire (1997);batspire
Battlesport (1997);BatSpo97
Battle for Atlantis (1990);BattAtla
Battune Becomes an Actor (1989);BattBA
Battle Beyond (1994);BattBeyo
Battleship Bismarck (1987);BattBism
Battune - Crimefighter (1989);BattCF
Battle Charge (1993);BattCh93
Batter Up (1992);BatterUp
Battle Fire (2000);BattFire
Battune Goes to the Museum (1989);BattGM
Battune Goes on Safari (1989);BattGS
Battle Insects (2000);BattInse
Battle Arena Toshinden (1996);BattleAr
Battle Command (1990);BattleCo
Battle for the Ashes 97 (1996);Battlefo
Battlehawks 1942 (1988);Battleha
Battle of the Eras (1995);Battleo
Battle of Philip against the Forces of Creation, The (1989);Battleof
Battleship (1998);Battlesh
Battle Stations (1990);BattleSt
Battle Wrath (1997);BattleWr
Battling Butlers (1996);Battling
Battune Meets Sleeping Beauty (1989);BattMSB
Battle of the Martial Arts (1994);BattoMA
Battune the Sailor (1989);BattSa
Battlestar (1992);BattStar
Battune in Wonderland (1989);BattW
Battle Zone (1983);batzone
Blood Bath at Red Falls (1997);BBaRF
Bluebush Chess (1983);bbchess
Barney Bear Goes to Space (1993);BBearGSp
Barney Bear Goes to the Farm (1990);BBearGtF
Barney Bear Goes to School (1992);BBearGtS
Brandon's Big Lunchbox (1989);bbiglbox
Berenstain Bears - Learning At Home, The, Volume One (1993);BBLaH1
Battle of the Bulge - Tigers in the Snow (1982);bbtits
Berenstain Bears, The - Treehouse Classroom (1994);BBTreeCl
Burnout Championship Drag Racing (Player's Choice) (1998);BCDPPCE
Battle Chess (1988);bchess
Battle Chess 2 - Chinese Chess (1990);bchess2
Battle Chess 4000 (1992);bchess4k
Battle Chess Enhanced (1992);bchessCD
B-Clopd (2002);Bclopd
BC Racers (1995);BCRacers
Battlecruiser 3000AD (1996);bcruis3k
BC's Quest for Tires (1984);BCsQuest
Boulder Dash Construction Kit (1987);BDashCK
Bob's Dragon Hunt (1992);bdraghu
Boulder Dash Remake (1996);BDRemak
Bulsajo Duck (1998);BDuck
Adventures of Willy Beamish, The (1991);beamish
Bear Stormin' (1993);BearStrm
Beasley's Deathtrap (1993);Beasleys
Beast (1984);beast
Beats of Rage (2003);Beatsof
Beat the House (1992);BeattheH
Beaubourg (1993);Beauborg
Bedlam 2 - Absolute Bedlam (1997);Bedlam2A
Bedlam (1988);Bedlam88
Bedlam (1996);Bedlam96
Beer Trivia (1993);BeerTriv
Beerworm (1996);Beerworm
Beethoven's 2nd (1993);Beethove
Beetlejuice in - Skeletons in the Closet (1990);Beetleju
Beetris (1989);BeetrisD
Beez (2000);Beez
Begin - A Tactical Starship Simulation (1989);begints
Berlin 1948 (1989);berlin
Berlin Wall (1993);BerlinWa
Bert's African Animals (1993);BertAA
Bert and the Snake (1983);Bertandt
Bert's Dinosaurs (1992);BertDino
Bert's Whales and Dolphins (1995);BertWaD
Berusky (1999);berusky
Best Drive (1990);BestDriv
Best of the Best Championship Karate (1992);Bestofth
Best of ZZT (1992);BestZZT
Betamax (1997);Betamax
Betrayal (1990);betrayal
Better Dead Than Alien! (1988);BetterDe
Beverly Hillbillies, The (1993);beverly
Beverly Hills Cop (1990);BeverlyH
Beyond the Black Hole (1989);beyblkh
Beyond Columns (1989);beycol
Beyond the Abyss (1994);BeyondAb
Beyond Castle Wolfenstein (1985);BeyondCa
Beyond the Titanic (1986);beytitan
Beyond Wolfenstein (2001);BeyWolf
Beyond Zork - The Coconut of Quendor (1987);beyzork
Bez Pegs (1994);BezPegs
Blue Falcon 2.0 (1995);BF1995
Battle for the Ashes (1995);BfAsh95
Blue Force (1993);bforce
Black Friday 3 (1983);BFrid3
Backgammon (1982);bgam82
Backgammon (1986);bgam86
Backgammon (1987);bgam87
Ballgame 2 (1992);Bgame2
Birthright - The Gorgon's Alliance (1996);bgorgon
Bianco Natale (1994);BiancoNa
Bible Adventures (1994);BibleAdv
Bible Crossword Puzzles (1996);BibXWord
Bicycle Limited Edition (1994);bicycle
Bicycle Holiday (1992);BicyHoli
B.I.G. (1997);BIG
Big Two (1990);big2
Big Bob's Drive In (1992);BigBobsD
Big Bumps (2001);BigBumps
Big Business (1990);bigbusi
Big Game Fishing (1991);BigGameF
Big Guns (2000);BigGuns
Big Math Attack! (1993);BigMathA
Big Red Adventure (1995);bigred
Big Red Racing (1995);BigRedRa
Big Rig (1987);bigrig
Big Top (1983);BigTop83
Biing! Sex, Intrigue and Scalpels (1995);Biing!Se
Biker Dave (1986);BikerDv
Bicycle Solitaire (1991);BikeSoli
Biliardo 2 (2001);Biliardo
Bill Elliott's NASCAR Challenge (1990);BillElli
Billiards (1993);Billia93
Billiards Simulator (1989);Billiard
Bill & Ted's Excellent Adventure (1990);billted
Billy the Kid (1990);BillyKid
Billy The Kid Returns (1993);BillyThe
Battles in Time (1995);bintime
Biology 101 (1987);bio101
Biobombers (1994);BioBombr
Biodomes (1991);BioDomes
Bioforge (1995);bioforge
Bio Menace (1993);BioMenac
Bionic Commando (1988);BionicCo
Bionic Police (1991);BionicPo
Biorobot's Base (1994);BioRobot
Bios (1990);Bios90
BipBop I (1993);BipBop1
BipBop III (1993);BipBop3
BipBop II (1993);BipBopII
Biprolex + (1997);Biprolex
Bird Brain (1984);BirdBrai
Birds of Prey (1992);BirdsofP
Battle Isle (1991);bisle
Battle Isle 2 (1993);bisle2
Bit-Bat (1982);BitBat
Biznesman (1988);biznes
BlackJack Academy (1987);bjacad
Blackjack Plus (1993);Bjack+
Blackjack (1987);BJck1987
Blackjack (1989);BJck1989
Backgammon (1983);bkgm1983
Backgammon (1985);bkgm1985
Backgammon (1991);bkgm1991
Black Box (1982);blackbox
Black Hole (1993);BlackH93
Blackjack (IBM)(1984);Blackjac
Black Knight Marine Strike Fighter (1995);BlackKni
Black Monday (1987);BlackMon
Black Orb, The (1989);BlackOrb
Black Cauldron, The - Point and Click (2010);blackpc
Blackthorne (1994);Blacktho
Blades of Steel (1990);Bladesof
Blade Warrior (1991);BladeWar
Black Box (1987);blakbox
Black Cauldron, The (1986);BlakCaul
Blake Stone - Aliens of Gold (1993);BlakeStA
Blake Stone - Planet Strike (1994);BlakeStP
Black Sanctum, The (1984);blaksanc
Blackstar - Agent of Justice (1995);blakstar
Blam! Machinehead (1996);Blam!Mac
